x,y,Mean1,Mean2,Diff,,,,,,,
95.25,28,1334.292524,1310.610024,23.68250064,,,,,,,
95.5,28,1322.537523,1301.240024,21.29749863,,,,,,,
95.75,28,1310.782521,1291.870025,18.91249662,,,,,,,
96,28,1236.813771,1222.491021,14.32274976,,,,,,,
96.25,28,1162.845021,1153.112018,9.733002892,,,,,,,
96.5,28,1027.776269,1020.613016,7.163252828,,,,,,,
96.75,28,892.7075171,888.1140144,4.593502765,,,,,,,
97,28,895.5687676,894.568017,1.000750539,,,,,,,
97.25,28,898.430018,901.0220197,-2.592001686,,,,,,,
92.75,28.25,809.1500143,847.7640137,-38.61399942,,,,,,,
93,28.25,919.3725159,956.1340155,-36.7614996,,,,,,,
93.25,28.25,1029.595017,1064.504017,-34.90899978,,,,,,,
93.5,28.25,1064.785018,1090.548019,-25.76300116,,,,,,,
93.75,28.25,1099.975018,1116.592021,-16.61700253,,,,,,,
94,28.25,1121.007516,1128.662024,-7.654507532,,,,,,,
94.25,28.25,1142.040014,1140.732026,1.307987471,,,,,,,
94.5,28.25,1203.700018,1195.570024,8.129993391,,,,,,,
94.75,28.25,1265.360022,1250.408023,14.95199931,,,,,,,
95,28.25,1229.855023,1213.628021,16.22700226,,,,,,,
95.25,28.25,1194.350024,1176.848019,17.50200521,,,,,,,
95.5,28.25,1195.972519,1179.740019,16.23250034,,,,,,,
95.75,28.25,1197.595014,1182.632019,14.96299547,,,,,,,
96,28.25,1094.567517,1082.642016,11.92550081,,,,,,,
96.25,28.25,991.5400189,982.6520128,8.888006153,,,,,,,
96.5,28.25,920.4275184,914.070013,6.357505322,,,,,,,
96.75,28.25,849.3150178,845.4880133,3.82700449,,,,,,,
97,28.25,794.8850156,793.0480132,1.837002392,,,,,,,
97.25,28.25,740.4550134,740.6080131,-0.152999706,,,,,,,
93.25,28.5,869.2700163,900.0540149,-30.78399853,,,,,,,
93.5,28.5,896.9637669,920.6200161,-23.65624917,,,,,,,
93.75,28.5,924.6575175,941.1860173,-16.52849981,,,,,,,
94,28.5,955.2725155,965.4740182,-10.20150272,,,,,,,
94.25,28.5,985.8875135,989.7620191,-3.874505622,,,,,,,
94.5,28.5,1074.058767,1071.62102,2.437747654,,,,,,,
94.75,28.5,1162.230021,1153.48002,8.75000093,,,,,,,
95,28.5,1110.51627,1098.909019,11.60725094,,,,,,,
95.25,28.5,1058.802519,1044.338018,14.46450095,,,,,,,
95.5,28.5,1052.227518,1037.963017,14.26450055,,,,,,,
95.75,28.5,1045.652517,1031.588017,14.06450014,,,,,,,
96,28.5,964.8725167,953.4630149,11.40950177,,,,,,,
96.25,28.5,884.0925168,875.3380134,8.754503398,,,,,,,
96.5,28.5,828.0737663,820.8140133,7.259753006,,,,,,,
96.75,28.5,772.0550159,766.2900132,5.765002613,,,,,,,
93.75,28.75,749.3400167,765.7800138,-16.43999709,,,,,,,
94,28.75,789.5375149,802.2860128,-12.7484979,,,,,,,
